Codes,Names,PPH_2013,White (%),Mixed/multiple ethnic groups (%),Asian/Asian British (%),Black/African/Caribbean/Black British (%),Other ethnic group (%),BAME (%),Median Annual Household Income estimate (£)
E01000907,Camden 001A,137,73.5,7.3,8.5,7.9,2.8,26.5,30223
E01000908,Camden 001B,94,72.4,8.7,6.2,8.0,4.7,27.6,32049
E01000909,Camden 001C,72,84.1,5.5,4.6,2.9,2.9,15.9,58469
E01000912,Camden 001D,18,77.3,5.6,5.1,9.2,2.8,22.7,31551
E01000913,Camden 001E,11,88.2,5.1,4.7,1.3,0.7,11.8,73024
E01000893,Camden 002A,30,88.1,4.5,4.8,1.0,1.5,11.9,64138
E01000894,Camden 002B,62,84.2,3.5,8.4,1.5,2.4,15.8,72739
E01000895,Camden 002C,166,79.8,7.0,8.0,3.1,2.1,20.2,53603
E01000896,Camden 002D,113,84.8,4.6,6.7,2.2,1.7,15.2,70351
E01000899,Camden 002E,16,87.1,3.9,5.9,1.4,1.7,12.9,76166
E01000910,Camden 003A,122,84.2,7.0,4.2,2.9,1.7,15.8,64961
E01000911,Camden 003B,184,78.0,5.3,6.7,7.0,3.0,22.0,37176
E01000921,Camden 003C,164,76.4,7.8,7.8,6.1,1.9,23.6,35597
E01000923,Camden 003D,173,79.1,6.3,7.2,5.4,2.0,20.9,45322
E01000928,Camden 003E,67,74.5,6.2,9.5,6.7,3.2,25.5,35656
E01000878,Camden 004A,114,68.5,6.6,16.9,4.1,3.9,31.5,56251
E01000879,Camden 004B,80,80.4,4.8,8.8,2.3,3.7,19.6,64715
E01000880,Camden 004C,76,75.8,6.2,12.0,2.2,3.9,24.2,69876
E01000884,Camden 004D,60,79.9,5.8,9.5,2.2,2.7,20.1,71430
E01000885,Camden 004E,49,75.7,7.1,10.6,1.3,5.1,24.3,78339
E01000871,Camden 005A,57,70.3,7.0,12.3,4.7,5.8,29.7,50050
E01000872,Camden 005B,137,66.9,7.0,14.5,7.4,4.2,33.1,32194
E01000873,Camden 005C,134,81.3,4.0,6.8,4.6,3.4,18.7,54005
E01000874,Camden 005D,189,75.6,4.7,11.8,2.3,5.6,24.4,57465
E01000877,Camden 005E,146,79.1,5.3,8.6,3.2,3.8,20.9,54472
E01000886,Camden 006A,150,82.8,7.2,5.5,2.6,1.9,17.2,50302
E01000887,Camden 006B,151,77.1,6.2,9.7,2.7,4.3,22.9,44663
E01000888,Camden 006C,178,77.6,6.6,8.7,4.9,2.3,22.4,43520
E01000892,Camden 006D,154,74.4,5.9,11.3,5.8,2.6,25.6,43769
E01000903,Camden 006E,143,74.1,5.1,13.2,5.1,2.4,25.9,43891
E01000889,Camden 007A,150,60.9,8.4,14.8,11.7,4.3,39.1,25438
E01000890,Camden 007B,229,61.0,5.5,13.9,14.6,5.0,39.0,20034
E01000891,Camden 007C,207,56.7,6.2,17.7,15.7,3.8,43.3,19956
E01000901,Camden 007D,199,49.8,7.6,23.6,13.8,5.2,50.2,23151
E01000922,Camden 007E,92,72.3,7.6,7.1,10.8,2.3,27.7,30870
E01000927,Camden 007F,182,76.8,6.5,8.6,5.6,2.4,23.2,43205
E01000881,Camden 008A,109,67.9,8.0,16.4,5.2,2.6,32.1,48802
E01000882,Camden 008B,136,80.9,4.8,9.9,1.4,3.0,19.1,66131
E01000883,Camden 008C,102,64.1,5.2,24.1,2.3,4.2,35.9,50701
E01000897,Camden 008D,78,79.5,6.1,11.0,0.9,2.6,20.5,72916
E01000898,Camden 008E,112,58.5,8.7,19.5,8.8,4.4,41.5,44230
E01000866,Camden 009A,137,70.6,6.3,9.5,9.1,4.5,29.4,33436
E01000870,Camden 009B,137,74.8,5.8,7.6,10.3,1.5,25.2,31544
E01000924,Camden 009C,173,78.7,5.7,8.2,5.3,2.0,21.3,40620
E01000925,Camden 009D,199,55.3,4.7,18.7,19.0,2.2,44.7,24857
E01000926,Camden 009E,200,59.3,4.5,20.4,7.6,8.3,40.7,32990
E01000969,Camden 010A,120,74.5,5.6,13.7,2.9,3.3,25.5,54854
E01000970,Camden 010B,216,81.4,4.4,8.2,3.1,2.9,18.6,48915
E01000971,Camden 010C,189,80.9,4.9,9.9,1.9,2.4,19.1,55958
E01000972,Camden 010D,150,56.9,6.3,15.8,16.3,4.6,43.1,30164
E01000973,Camden 010E,84,63.2,6.3,16.5,10.6,3.4,36.8,33620
E01000842,Camden 011A,148,81.0,4.6,9.2,2.4,2.9,19.0,62118
E01000844,Camden 011B,163,75.5,5.6,14.2,2.1,2.5,24.5,61186
E01000848,Camden 011C,163,78.8,4.7,10.1,1.7,4.7,21.2,60261
E01000849,Camden 011D,219,76.0,5.6,12.5,2.8,3.1,24.0,50928
E01000900,Camden 012A,192,72.2,4.9,8.7,11.0,3.3,27.8,31182
E01000902,Camden 012B,182,53.1,7.9,17.6,15.0,6.3,46.9,24571
E01000904,Camden 012C,193,66.3,6.9,12.6,11.1,3.1,33.7,29190
E01000905,Camden 012D,245,52.1,4.7,20.4,18.9,3.8,47.9,21024
E01000906,Camden 012E,115,77.5,5.4,9.3,4.3,3.5,22.5,48841
E01000875,Camden 013A,155,67.5,6.3,13.4,8.6,4.2,32.5,33219
E01000876,Camden 013B,155,58.4,7.3,12.8,15.7,5.9,41.6,28093
E01000931,Camden 013C,142,59.0,6.0,11.7,15.4,8.0,41.0,25729
E01000932,Camden 013D,282,69.7,5.0,12.6,8.3,4.4,30.3,37270
E01000974,Camden 013E,157,61.0,6.8,11.8,15.2,5.2,39.0,29982
E01000843,Camden 014A,214,71.2,6.1,12.8,7.0,2.9,28.8,44503
E01000845,Camden 014B,131,78.1,4.9,11.0,4.4,1.6,21.9,53278
E01000846,Camden 014C,190,58.7,5.6,14.1,17.5,4.1,41.3,34028
E01000847,Camden 014D,174,59.3,5.6,19.9,11.1,4.2,40.7,35289
E01000864,Camden 015A,155,73.6,5.3,9.4,8.2,3.4,26.4,38957
E01000865,Camden 015B,142,74.3,4.2,16.6,3.6,1.3,25.7,47904
E01000867,Camden 015C,191,59.3,5.6,22.2,10.0,3.0,40.7,26792
E01000868,Camden 015D,168,47.6,6.8,17.6,25.8,2.1,52.4,24521
E01000869,Camden 015E,185,72.5,7.3,9.0,8.9,2.4,27.5,34563
E01000962,Camden 016A,178,74.7,4.2,15.1,3.1,2.9,25.3,57954
E01000964,Camden 016B,129,74.6,4.2,12.6,5.3,3.2,25.4,45755
E01000965,Camden 016C,148,71.4,5.0,14.0,5.1,4.5,28.6,44410
E01000966,Camden 016D,120,83.9,3.4,9.7,0.9,2.2,16.1,63943
E01000968,Camden 016E,188,74.6,5.4,12.6,4.7,2.8,25.4,46075
E01000960,Camden 017A,169,61.2,4.9,23.9,5.1,5.0,38.8,41451
E01000961,Camden 017B,142,53.7,4.3,24.5,11.3,6.3,46.3,30385
E01000963,Camden 017C,111,51.7,3.8,30.7,5.5,8.2,48.3,52918
E01000967,Camden 017D,38,75.6,4.0,13.1,3.8,3.4,24.4,60568
E01000857,Camden 018A,186,80.8,4.8,9.5,2.8,2.1,19.2,47797
E01000858,Camden 018B,90,57.8,7.4,15.3,14.9,4.5,42.2,27282
E01000859,Camden 018C,155,86.9,5.1,4.8,2.0,1.3,13.1,61120
E01000860,Camden 018D,65,82.9,3.8,6.9,4.0,2.4,17.1,44797
E01000862,Camden 018E,101,82.0,4.0,6.8,3.0,4.1,18.0,62468
E01000856,Camden 019A,142,57.1,7.2,21.8,10.9,3.0,42.9,27044
E01000861,Camden 019B,134,69.5,5.3,14.7,8.3,2.3,30.5,30135
E01000957,Camden 019C,141,61.1,5.2,14.9,14.9,3.8,38.9,28624
E01000958,Camden 019D,103,54.0,7.6,19.9,12.5,6.1,46.0,27133
E01000959,Camden 019E,228,55.6,4.7,23.9,12.7,3.1,44.4,22347
E01000929,Camden 020A,186,53.4,6.1,14.9,16.4,9.1,46.6,26403
E01000930,Camden 020B,171,58.4,4.8,10.5,14.1,12.3,41.6,24061
E01000933,Camden 020C,164,73.0,5.1,10.4,5.4,6.1,27.0,37278
E01000934,Camden 020D,195,51.6,4.9,22.9,15.1,5.6,48.4,25033
E01000935,Camden 020E,244,52.3,5.6,13.1,22.8,6.2,47.7,25247
E01000863,Camden 021A,97,76.6,3.7,9.9,7.6,2.2,23.4,40815
E01000946,Camden 021B,34,64.6,4.4,18.1,7.5,5.4,35.4,38675
E01000947,Camden 021C,130,63.7,4.9,17.1,10.8,3.5,36.3,29657
E01000948,Camden 021D,93,74.0,5.0,9.7,7.8,3.6,26.0,40748
E01000952,Camden 022A,207,51.2,5.2,24.8,15.0,3.8,48.8,24012
E01000953,Camden 022B,34,46.8,3.7,32.5,13.1,3.8,53.2,23027
E01000954,Camden 022C,326,44.1,5.7,25.9,19.3,5.0,55.9,21566
E01000955,Camden 022D,253,51.5,7.5,22.6,13.7,4.6,48.5,22567
E01000956,Camden 022E,104,41.2,5.6,35.4,13.8,4.0,58.8,25464
E01000944,Camden 023A,346,48.2,5.0,28.8,9.3,8.7,51.8,23637
E01000945,Camden 023B,62,46.8,4.8,33.9,10.6,3.8,53.2,27236
E01000949,Camden 023C,264,59.8,5.1,21.9,10.5,2.7,40.2,29196
E01000950,Camden 023D,213,39.7,3.3,38.8,12.1,6.1,60.3,20176
E01000951,Camden 023E,327,46.4,4.2,31.8,12.1,5.6,53.6,21727
E01000936,Camden 024A,203,48.9,7.3,25.9,15.2,2.6,51.1,28382
E01000938,Camden 024B,218,46.1,5.1,25.3,18.4,5.1,53.9,26281
E01000939,Camden 024C,163,33.4,5.1,44.8,13.4,3.3,66.6,23517
E01000940,Camden 024D,254,51.3,6.2,29.4,9.4,3.7,48.7,28095
E01000853,Camden 025A,282,59.7,6.0,20.7,11.6,2.1,40.3,28846
E01000937,Camden 025B,118,52.3,4.7,31.6,7.8,3.5,47.7,28092
E01000941,Camden 025C,296,47.5,4.9,31.0,12.3,4.4,52.5,23407
E01000942,Camden 025D,295,60.4,5.4,27.5,3.7,3.0,39.6,32028
E01000943,Camden 025E,158,63.7,4.6,21.8,5.8,4.1,36.3,31578
E01000850,Camden 026A,95,63.9,5.2,22.6,4.3,4.1,36.1,44181
E01000851,Camden 026B,189,61.9,4.4,25.1,5.0,3.6,38.1,37265
E01000852,Camden 026C,149,58.8,4.2,29.9,3.6,3.5,41.2,32650
E01000854,Camden 026D,97,41.7,4.2,33.6,12.5,8.0,58.3,29258
E01000915,Camden 027A,221,49.6,4.7,33.3,9.2,3.2,50.4,28527
E01000916,Camden 027B,133,62.6,5.8,19.9,7.8,3.9,37.4,34001
E01000917,Camden 027C,261,51.6,5.8,26.6,12.8,3.2,48.4,24972
E01000920,Camden 027D,153,68.4,5.3,17.3,6.3,2.7,31.6,37883
E01000855,Camden 028A,54,71.5,3.6,17.3,3.7,3.8,28.5,35286
E01000914,Camden 028B,44,67.9,4.4,19.1,5.7,2.9,32.1,38253
E01000918,Camden 028C,131,62.6,6.4,21.1,6.2,3.7,37.4,34647
E01000919,Camden 028D,139,56.9,7.1,25.6,5.8,4.6,43.1,35740
E01000001,City of London 001A,114,84.5,3.7,8.7,0.8,2.3,15.5,58347
E01000002,City of London 001B,64,88.7,3.8,6.6,0.3,0.6,11.3,57159
E01000003,City of London 001C,230,78.4,4.1,12.5,3.3,1.7,21.6,34387
E01000005,City of London 001E,62,51.4,6.0,27.8,10.2,4.7,48.6,24000
E01032739,City of London 001F,6,77.9,3.5,15.5,0.9,2.2,22.1,53017
E01032740,City of London 001G,18,83.1,2.7,10.3,2.2,1.7,16.9,52427
E01001808,Hackney 001A,157,79.5,2.2,3.4,4.1,10.8,20.5,36364
E01001809,Hackney 001B,184,67.9,3.6,5.3,9.7,13.4,32.1,33867
E01001814,Hackney 001C,155,64.3,4.7,8.3,12.5,10.2,35.7,32964
E01001823,Hackney 001D,126,61.6,4.5,5.5,15.8,12.6,38.4,32452
E01001825,Hackney 001E,159,81.4,1.5,2.1,4.9,10.1,18.6,40095
E01001714,Hackney 002A,90,49.7,6.4,11.6,26.0,6.3,50.3,25992
E01001811,Hackney 002D,160,43.1,6.1,13.4,30.1,7.3,56.9,21530
E01001813,Hackney 002E,141,41.3,7.4,13.8,29.0,8.6,58.7,21184
E01033701,Hackney 002F,75,40.0,8.3,11.2,31.3,9.2,60.0,21621
E01001799,Hackney 003A,158,75.3,2.9,4.6,8.2,9.0,24.7,41561
E01001802,Hackney 003B,123,65.8,3.6,8.3,13.1,9.3,34.2,30119
E01001804,Hackney 003C,141,72.6,4.5,6.9,8.8,7.1,27.4,37894
E01001807,Hackney 003D,167,61.0,5.3,6.3,19.7,7.8,39.0,32042
E01001812,Hackney 003E,77,69.1,4.9,4.0,13.2,8.8,30.9,31591
E01001725,Hackney 004A,203,61.5,3.8,11.1,14.4,9.3,38.5,36415
E01001726,Hackney 004B,280,41.3,5.2,15.0,30.3,8.3,58.7,25802
E01001800,Hackney 004C,202,59.7,4.2,5.8,20.3,10.0,40.3,26799
E01001824,Hackney 004D,72,56.9,5.9,7.5,21.8,7.9,43.1,27054
E01001826,Hackney 004E,161,61.3,4.0,6.0,17.0,11.7,38.7,28359
E01001723,Hackney 006A,174,59.3,4.6,20.3,9.7,6.1,40.7,41002
E01001724,Hackney 006B,200,63.6,5.9,15.7,11.2,3.6,36.4,35605
E01001727,Hackney 006C,187,62.8,3.3,13.0,12.7,8.2,37.2,41946
E01001768,Hackney 006D,181,56.8,5.2,14.3,19.3,4.4,43.2,39934
E01001769,Hackney 006E,131,53.7,7.2,11.6,22.6,4.9,46.3,38627
E01001715,Hackney 007A,166,70.5,7.1,7.2,10.9,4.3,29.5,44118
E01001716,Hackney 007B,166,56.7,5.7,13.4,19.7,4.6,43.3,29877
E01001717,Hackney 007C,123,58.9,4.5,15.5,13.3,7.8,41.1,40448
E01001718,Hackney 007D,169,75.3,6.0,9.9,5.1,3.6,24.7,51575
E01001719,Hackney 007E,179,52.0,6.5,9.4,24.4,7.7,48.0,28548
E01001720,Hackney 007F,184,75.5,6.8,6.6,8.2,2.9,24.5,50911
E01001742,Hackney 008A,143,55.6,8.7,10.9,20.8,4.0,44.4,35330
E01001801,Hackney 008B,116,72.0,4.5,5.8,11.8,5.9,28.0,33056
E01001803,Hackney 008C,120,75.7,6.6,4.9,6.4,6.3,24.3,47091
E01001806,Hackney 008D,47,63.8,6.9,5.6,19.5,4.2,36.2,36785
E01001741,Hackney 009A,175,72.7,5.2,9.0,8.9,4.2,27.3,54378
E01001805,Hackney 009B,85,69.2,4.8,9.8,12.3,3.9,30.8,42572
E01001829,Hackney 009C,163,77.3,5.2,7.8,7.9,1.8,22.7,57683
E01001831,Hackney 009D,150,63.0,7.0,11.5,15.4,3.1,37.0,39216
E01001832,Hackney 009E,172,56.4,6.4,18.9,14.9,3.3,43.6,38736
E01001764,Hackney 010A,186,49.1,6.9,13.8,24.5,5.7,50.9,30468
E01001765,Hackney 010B,148,31.2,8.6,14.9,40.2,5.1,68.8,22782
E01001767,Hackney 010D,157,51.8,7.4,15.2,22.1,3.5,48.2,33605
E01001770,Hackney 010E,138,40.4,8.4,13.8,32.3,5.1,59.6,25907
E01033703,Hackney 010F,223,52.4,5.0,12.8,23.9,5.8,47.6,27000
E01033713,Hackney 010G,53,52.8,9.6,13.5,20.4,3.6,47.2,29701
E01001792,Hackney 011A,110,45.5,5.8,24.7,20.6,3.4,54.5,32767
E01001793,Hackney 011B,103,51.4,5.8,14.8,25.2,2.9,48.6,34429
E01001794,Hackney 011C,157,53.9,5.8,21.9,16.3,2.0,46.1,40167
E01001795,Hackney 011D,148,57.2,6.1,15.6,18.6,2.5,42.8,36561
E01001796,Hackney 011E,176,49.9,9.0,13.2,23.3,4.6,50.1,29969
E01001736,Hackney 012A,188,66.6,7.1,6.2,16.2,3.9,33.4,45623
E01001737,Hackney 012B,190,69.5,7.2,8.1,11.6,3.5,30.5,51069
E01001738,Hackney 012C,197,73.0,6.3,4.4,11.1,5.2,27.0,43760
E01001739,Hackney 012D,170,75.3,6.1,4.6,12.0,2.0,24.7,48840
E01001786,Hackney 013A,18,26.8,6.2,8.6,54.0,4.3,73.2,23792
E01001787,Hackney 013B,71,38.0,5.7,7.8,41.2,7.4,62.0,22273
E01001788,Hackney 013C,140,34.1,6.8,11.2,43.1,4.7,65.9,23435
E01001790,Hackney 013D,235,24.3,6.5,10.2,52.9,6.1,75.7,22805
E01001740,Hackney 014A,180,40.9,6.8,12.6,31.1,8.6,59.1,25346
E01001747,Hackney 014B,165,60.9,6.2,8.0,19.1,5.7,39.1,34800
E01001830,Hackney 014C,190,51.1,8.8,8.2,26.2,5.8,48.9,28306
E01001833,Hackney 014D,202,53.1,7.8,11.5,24.3,3.3,46.9,32918
E01001834,Hackney 014E,219,59.3,6.6,9.4,20.2,4.5,40.7,37766
E01001835,Hackney 014F,181,63.7,5.0,12.5,15.4,3.5,36.3,46214
E01001733,Hackney 015A,129,57.2,8.6,11.0,20.5,2.6,42.8,34150
E01001785,Hackney 015B,166,51.4,6.5,10.6,27.6,3.9,48.6,29862
E01001789,Hackney 015C,178,53.0,6.2,11.3,26.4,3.2,47.0,35046
E01001791,Hackney 015D,143,37.1,9.6,13.9,34.8,4.6,62.9,28238
E01001745,Hackney 016A,214,44.2,6.1,10.2,34.7,4.8,55.8,26487
E01001746,Hackney 016B,329,33.6,7.4,12.4,38.9,7.6,66.4,25124
E01001757,Hackney 016C,352,23.4,7.3,19.7,45.4,4.2,76.6,24745
E01001758,Hackney 016D,162,39.0,7.3,13.0,33.5,7.2,61.0,26405
E01001759,Hackney 016E,176,49.3,7.2,9.3,29.1,5.2,50.7,30212
E01001761,Hackney 016F,167,51.3,7.2,10.4,27.8,3.3,48.7,28031
E01001731,Hackney 017A,150,47.1,7.9,11.4,30.0,3.7,52.9,27518
E01001734,Hackney 017B,129,55.2,7.2,9.3,25.4,2.9,44.8,30080
E01001760,Hackney 017C,123,49.5,8.0,10.5,26.8,5.1,50.5,29351
E01001762,Hackney 017D,124,64.1,7.6,7.5,17.1,3.7,35.9,35300
E01001846,Hackney 018A,22,42.8,5.7,9.9,38.6,3.1,57.2,26210
E01001847,Hackney 018B,122,48.6,8.6,10.9,28.8,3.1,51.4,25625
E01001848,Hackney 018C,111,55.0,5.8,4.8,31.4,3.0,45.0,29023
E01001849,Hackney 018D,47,47.6,7.4,9.5,29.1,6.3,52.4,28381
E01001729,Hackney 019A,158,33.5,8.9,11.6,42.6,3.4,66.5,23760
E01001730,Hackney 019B,168,36.6,9.5,11.5,34.9,7.4,63.4,22693
E01001732,Hackney 019C,283,34.8,7.6,10.8,41.6,5.2,65.2,23028
E01001735,Hackney 019D,119,56.7,6.6,7.4,26.5,2.9,43.3,30975
E01001838,Hackney 019E,249,32.3,7.8,13.9,39.7,6.2,67.7,21812
E01001850,Hackney 019F,254,30.1,6.6,10.3,47.2,5.7,69.9,22124
E01001748,Hackney 020A,136,60.1,5.8,10.5,19.4,4.2,39.9,35122
E01001749,Hackney 020B,156,70.5,4.1,6.3,15.8,3.2,29.5,45818
E01001763,Hackney 020C,169,56.3,5.2,8.4,27.2,3.0,43.7,34916
E01001816,Hackney 020D,120,62.5,6.6,5.6,22.8,2.6,37.5,38295
E01001819,Hackney 020E,114,68.0,6.0,7.6,16.0,2.3,32.0,44092
E01001744,Hackney 021B,145,57.4,3.4,6.8,26.6,5.8,42.6,32908
E01001750,Hackney 021C,137,59.7,5.4,11.3,17.8,5.8,40.3,36264
E01001751,Hackney 021D,105,83.6,5.9,3.9,4.7,1.9,16.4,65423
E01001756,Hackney 021E,133,74.8,6.6,6.5,9.7,2.3,25.2,45231
E01033698,Hackney 021F,215,45.5,5.7,13.3,27.7,7.8,54.5,25630
E01033699,Hackney 021G,130,57.0,8.5,12.6,17.5,4.4,43.0,34740
E01033700,Hackney 021H,196,61.0,9.1,10.5,15.3,4.2,39.0,38434
E01033707,Hackney 021I,129,54.0,5.4,11.7,22.6,6.4,46.0,29485
E01001836,Hackney 022A,149,63.1,5.9,5.4,21.4,4.1,36.9,35849
E01001840,Hackney 022B,159,45.3,5.5,13.0,32.9,3.3,54.7,26438
E01001841,Hackney 022C,110,73.4,5.1,4.8,15.2,1.6,26.6,36262
E01001844,Hackney 022D,135,64.6,6.6,8.8,16.5,3.6,35.4,40816
E01001845,Hackney 022E,136,47.1,6.7,7.4,34.8,4.1,52.9,25452
E01001837,Hackney 023B,140,76.3,5.5,8.8,8.1,1.3,23.7,50099
E01001839,Hackney 023C,233,60.9,8.1,8.7,17.6,4.7,39.1,32109
E01001842,Hackney 023D,248,42.8,9.1,11.6,32.2,4.3,57.2,28214
E01001843,Hackney 023E,175,55.0,7.2,9.5,24.8,3.5,45.0,39538
E01033704,Hackney 023F,87,68.7,5.6,8.0,12.9,4.8,31.3,42930
E01033712,Hackney 023G,107,60.3,5.3,10.7,20.3,3.4,39.7,30447
E01001772,Hackney 024A,150,36.0,7.2,12.8,38.8,5.2,64.0,23322
E01001774,Hackney 024B,120,56.8,5.2,11.3,21.7,5.1,43.2,30013
E01001775,Hackney 024C,144,42.4,5.5,16.7,27.8,7.6,57.6,24186
E01001815,Hackney 024D,165,43.8,6.8,13.8,33.0,2.6,56.2,26138
E01001820,Hackney 024E,172,45.9,5.1,8.5,36.0,4.4,54.1,27096
E01001821,Hackney 024F,210,45.8,7.3,7.3,33.2,6.4,54.2,24488
E01001752,Hackney 025A,200,60.1,5.9,10.2,21.4,2.5,39.9,39603
E01001753,Hackney 025B,227,36.3,8.1,8.5,39.8,7.3,63.7,24817
E01001754,Hackney 025C,238,57.2,7.3,10.1,21.0,4.5,42.8,29628
E01001755,Hackney 025D,181,47.7,8.6,10.0,28.0,5.8,52.3,26469
E01001773,Hackney 025E,173,48.1,6.7,14.9,25.0,5.4,51.9,27817
E01001776,Hackney 025F,146,46.6,5.5,10.4,30.6,6.9,53.4,23861
E01001779,Hackney 026A,191,49.7,6.8,14.4,22.9,6.3,50.3,29262
E01001781,Hackney 026B,113,53.5,6.7,10.9,23.7,5.3,46.5,22474
E01001782,Hackney 026C,182,64.9,7.3,10.7,12.2,5.0,35.1,39996
E01001783,Hackney 026D,319,40.0,6.2,11.0,34.6,8.3,60.0,23965
E01001777,Hackney 027B,155,54.8,6.0,10.7,23.7,4.7,45.2,27870
E01001780,Hackney 027D,175,51.9,9.9,8.9,23.5,5.8,48.1,28197
E01001784,Hackney 027E,316,52.2,5.3,15.0,22.1,5.4,47.8,26494
E01033706,Hackney 027F,126,71.2,6.5,10.3,8.6,3.4,28.8,47826
E01033708,Hackney 027G,49,75.3,8.7,8.5,4.6,2.9,24.7,54621
E01033709,Hackney 027H,203,55.7,6.3,11.4,22.0,4.6,44.3,33398
E01033711,Hackney 027I,256,63.7,6.9,14.0,10.4,5.0,36.3,39439
E01001798,Hackney 028A,177,34.1,8.2,19.3,31.5,6.8,65.9,24865
E01001828,Hackney 028B,182,36.8,7.7,10.5,39.1,5.9,63.2,25351
E01033702,Hackney 028C,139,48.1,8.8,14.5,22.1,6.5,51.9,27441
E01033705,Hackney 028D,101,35.1,9.5,12.1,37.7,5.6,64.9,27548
E01033710,Hackney 028E,363,51.3,8.1,11.0,24.8,4.7,48.7,28780
E01001722,Hackney 029A,201,45.7,7.6,11.9,29.5,5.2,54.3,27825
E01001728,Hackney 029B,232,57.8,3.7,10.3,19.7,8.6,42.2,29256
E01001822,Hackney 029C,217,42.0,6.1,13.7,28.9,9.3,58.0,24485
E01001827,Hackney 029D,119,52.0,6.1,9.3,27.0,5.5,48.0,26187
E01001874,Hammersmith and Fulham 001A,21,57.8,6.4,12.5,17.2,6.2,42.2,29289
E01001875,Hammersmith and Fulham 001B,120,52.8,6.1,12.0,20.6,8.5,47.2,25708
E01001876,Hammersmith and Fulham 001C,26,40.7,6.6,17.4,21.8,13.5,59.3,25948
E01001877,Hammersmith and Fulham 001D,11,45.1,7.4,13.6,27.1,6.8,54.9,28378
E01001878,Hammersmith and Fulham 001E,116,53.7,8.2,8.6,20.7,8.8,46.3,26366
E01001955,Hammersmith and Fulham 002A,80,48.3,7.7,8.7,27.6,7.7,51.7,24143
E01001957,Hammersmith and Fulham 002B,214,35.1,5.2,13.8,37.3,8.6,64.9,19457
E01001958,Hammersmith and Fulham 002C,350,31.6,6.9,11.1,40.2,10.3,68.4,18356
E01001961,Hammersmith and Fulham 002D,213,33.4,8.0,10.7,38.8,9.1,66.6,18995
E01001954,Hammersmith and Fulham 003A,168,61.4,6.7,8.4,18.1,5.4,38.6,32544
E01001956,Hammersmith and Fulham 003B,112,66.2,6.1,9.0,12.9,5.8,33.8,34811
E01001959,Hammersmith and Fulham 003C,84,50.2,7.3,11.2,20.0,11.3,49.8,28200
E01001960,Hammersmith and Fulham 003D,230,67.2,6.2,9.1,12.1,5.5,32.8,37966
E01001943,Hammersmith and Fulham 004A,43,60.9,6.2,12.5,14.1,6.3,39.1,32654
E01001944,Hammersmith and Fulham 004B,261,38.7,8.2,7.8,37.7,7.5,61.3,21313
E01001945,Hammersmith and Fulham 004C,146,68.6,4.7,7.8,13.2,5.7,31.4,35591
E01001946,Hammersmith and Fulham 004D,124,64.5,7.0,8.5,16.4,3.7,35.5,33811
E01001862,Hammersmith and Fulham 005A,188,57.7,8.0,7.1,19.3,7.9,42.3,31544
E01001940,Hammersmith and Fulham 005B,188,56.8,7.4,9.2,19.9,6.6,43.2,30269
E01001941,Hammersmith and Fulham 005C,117,65.5,5.4,12.8,10.7,5.6,34.5,35110
E01001942,Hammersmith and Fulham 005D,193,63.5,5.5,12.3,13.3,5.5,36.5,35855
E01001858,Hammersmith and Fulham 006A,145,64.4,6.6,11.2,13.1,4.7,35.6,32206
E01001860,Hammersmith and Fulham 006B,201,53.9,7.1,13.2,19.7,6.1,46.1,28033
E01001861,Hammersmith and Fulham 006C,196,56.4,6.7,9.1,22.0,5.9,43.6,32429
E01001863,Hammersmith and Fulham 006D,182,74.6,3.7,5.7,12.5,3.4,25.4,41718
E01001864,Hammersmith and Fulham 006E,205,70.5,5.4,7.0,12.2,4.9,29.5,36369
E01001852,Hammersmith and Fulham 007A,231,73.4,5.3,8.6,7.1,5.5,26.6,41949
E01001853,Hammersmith and Fulham 007B,182,78.8,5.1,6.7,6.5,2.9,21.2,48841
E01001854,Hammersmith and Fulham 007C,254,70.9,6.2,9.7,9.7,3.5,29.1,36158
E01001857,Hammersmith and Fulham 007D,207,52.8,6.1,8.9,23.5,8.7,47.2,25478
E01001859,Hammersmith and Fulham 008A,250,58.4,7.1,8.5,20.0,6.1,41.6,32568
E01001865,Hammersmith and Fulham 008B,141,71.9,6.6,10.0,7.0,4.5,28.1,44702
E01001927,Hammersmith and Fulham 008C,73,83.9,5.7,6.9,2.1,1.4,16.1,64996
E01001930,Hammersmith and Fulham 008D,69,71.1,4.9,7.6,10.5,6.0,28.9,36675
E01001895,Hammersmith and Fulham 009A,169,69.5,7.3,7.5,11.0,4.7,30.5,42330
E01001896,Hammersmith and Fulham 009B,176,63.0,6.5,11.0,14.3,5.2,37.0,34281
E01001897,Hammersmith and Fulham 009C,147,78.0,4.1,6.3,8.0,3.6,22.0,56020
E01001929,Hammersmith and Fulham 009D,147,85.8,4.5,4.0,3.4,2.2,14.2,60245
E01001851,Hammersmith and Fulham 010A,169,83.6,5.0,3.6,5.9,1.9,16.4,62626
E01001855,Hammersmith and Fulham 010B,214,79.0,3.7,7.5,5.8,4.1,21.0,47000
E01001856,Hammersmith and Fulham 010C,199,64.4,5.0,8.5,15.2,6.9,35.6,35666
E01001869,Hammersmith and Fulham 010D,55,82.6,3.1,7.0,3.7,3.5,17.4,68517
E01001873,Hammersmith and Fulham 010E,226,69.3,6.6,8.9,9.9,5.3,30.7,35267
E01001928,Hammersmith and Fulham 011A,87,71.2,6.3,6.4,11.5,4.5,28.8,45800
