Codes,Names,PPH_2013,White (%),Mixed/multiple ethnic groups (%),Asian/Asian British (%),Black/African/Caribbean/Black British (%),Other ethnic group (%),BAME (%),Median Annual Household Income estimate (£)
E01004262,Tower Hamlets 010B,116,45.1,3.0,44.5,5.2,2.2,54.9,28338
E01004264,Tower Hamlets 010C,260,19.1,3.3,69.0,7.0,1.7,80.9,24846
E01032785,Tower Hamlets 010E,258,59.8,8.2,19.7,10.6,1.7,40.2,48498
E01032786,Tower Hamlets 010F,267,50.5,3.2,37.4,6.6,2.2,49.5,31315
E01004207,Tower Hamlets 011A,207,40.6,5.2,45.4,7.0,1.8,59.4,28481
E01004209,Tower Hamlets 011B,175,26.2,2.4,62.2,7.8,1.4,73.8,26624
E01004212,Tower Hamlets 011D,198,44.0,3.0,43.0,7.2,2.7,56.0,28883
E01032787,Tower Hamlets 011F,242,26.8,3.2,61.0,7.8,1.2,73.2,27130
E01004240,Tower Hamlets 012A,208,33.1,4.2,50.2,10.2,2.3,66.9,25797
E01004241,Tower Hamlets 012B,139,31.1,4.3,51.2,12.0,1.4,68.9,26105
E01004242,Tower Hamlets 012C,178,31.6,3.1,50.3,12.6,2.5,68.4,29307
E01004267,Tower Hamlets 012D,103,48.3,4.2,33.6,11.4,2.5,51.7,33348
E01004268,Tower Hamlets 012E,370,30.8,3.7,50.6,11.9,3.0,69.2,25742
E01004205,Tower Hamlets 013A,170,20.1,2.0,68.9,7.3,1.7,79.9,25724
E01004206,Tower Hamlets 013B,195,26.9,3.6,58.7,8.4,2.5,73.1,23192
E01004208,Tower Hamlets 013C,135,48.4,4.9,40.8,3.5,2.4,51.6,39111
E01004211,Tower Hamlets 013D,96,59.5,5.3,27.3,5.3,2.5,40.5,36859
E01004269,Tower Hamlets 014A,144,39.5,3.4,45.0,9.8,2.3,60.5,28075
E01004270,Tower Hamlets 014B,85,53.7,3.1,33.9,7.2,2.1,46.3,35252
E01004271,Tower Hamlets 014C,161,26.4,3.5,57.1,12.1,0.9,73.6,27941
E01004272,Tower Hamlets 014D,244,18.5,3.8,67.0,9.6,1.1,81.5,24036
E01004273,Tower Hamlets 014E,129,18.5,3.3,64.8,11.7,1.7,81.5,26052
E01004306,Tower Hamlets 015A,147,45.6,3.3,44.9,3.8,2.3,54.4,39836
E01004307,Tower Hamlets 015B,126,67.7,3.7,22.5,3.0,3.1,32.3,58891
E01004308,Tower Hamlets 015C,172,37.8,3.3,54.5,2.8,1.6,62.2,32649
E01004309,Tower Hamlets 015D,242,35.9,3.2,51.6,7.0,2.3,64.1,29926
E01004310,Tower Hamlets 015E,222,39.1,2.5,52.7,4.2,1.4,60.9,31064
E01004283,Tower Hamlets 016A,171,38.2,3.1,51.4,5.2,2.1,61.8,28027
E01004287,Tower Hamlets 016B,290,34.0,3.9,52.0,6.1,4.0,66.0,27955
E01004289,Tower Hamlets 016C,188,39.4,3.5,47.0,6.6,3.6,60.6,28848
E01004290,Tower Hamlets 016D,126,57.9,5.3,28.6,4.9,3.2,42.1,34324
E01004322,Tower Hamlets 017A,92,38.9,3.6,46.8,6.7,3.9,61.1,30076
E01004323,Tower Hamlets 017B,217,39.9,2.9,51.9,2.7,2.6,60.1,31459
E01004324,Tower Hamlets 017C,213,26.4,2.6,65.0,4.4,1.6,73.6,26862
E01004326,Tower Hamlets 017D,188,41.7,3.9,44.5,5.9,3.9,58.3,30084
E01004245,Tower Hamlets 018A,77,22.0,3.9,59.3,12.6,2.3,78.0,24010
E01004246,Tower Hamlets 018B,112,49.3,4.1,36.9,7.6,2.1,50.7,32178
E01004248,Tower Hamlets 018C,143,29.1,5.3,50.4,13.6,1.6,70.9,23859
E01004249,Tower Hamlets 018D,110,34.1,4.3,44.2,14.7,2.6,65.9,26067
E01004284,Tower Hamlets 019A,135,33.1,4.2,52.4,8.3,2.0,66.9,33550
E01004285,Tower Hamlets 019B,192,19.7,3.6,68.6,6.8,1.2,80.3,25633
E01004286,Tower Hamlets 019C,155,35.5,3.9,53.4,6.0,1.1,64.5,31280
E01004288,Tower Hamlets 019D,158,30.1,3.7,57.8,7.6,0.8,69.9,26235
E01004243,Tower Hamlets 020A,154,34.4,4.1,48.1,11.2,2.2,65.6,25778
