codes,smr
E01001020,0.841752887
E01001021,0.934111471
E01001022,0.953919912
E01001023,1.916574085
E01001024,0.681388998
E01001025,1.289738701
E01001026,1.633192797
E01001027,1.246262735
E01001028,1.446201489
E01001029,1.330913733
E01001030,1.739660129
E01001031,0.961705097
E01001032,0.456033867
E01001033,1.062928466
E01001034,1.08219916
E01001035,1.483054224
E01001036,1.072434057
E01001037,0.484385257
E01001038,1.221041094
E01001039,0.799535729
E01001040,1.284567749
E01001041,1.691251818
E01001042,1.182814314
E01001043,1.185131808
E01001044,0.620512553
E01001045,1.916810505
E01001046,0.430671119
E01001047,1.501565974
E01001048,1.843752958
E01001049,0.504064225
E01001050,1.336744275
E01001051,1.489922812
E01001052,1.288337823
E01001053,1.622652849
E01001054,2.319888795
E01001055,1.853232798
E01001056,1.534200639
E01001057,1.614508846
E01001058,1.148350542
E01001059,0.895452597
E01001060,0.504425366
E01001061,2.002614759
E01001062,1.091731937
E01001063,1.139670676
E01001064,0.893163472
E01001065,1.109342634
E01001066,1.372461992
E01001067,0.911243292
E01001068,1.216494405
E01001069,1.281759122
E01001070,1.767790737
E01001071,1.050524201
E01001072,0.769696802
E01001073,1.483965582
E01001074,1.622814698
E01001075,0.848352299
E01001076,1.167431391
E01001077,1.696289034
E01001078,1.702088981
E01001079,2.499013756
E01001080,2.408372923
E01001081,1.990011288
E01001082,1.346887477
E01001083,1.553295048
E01001084,0.843667747
E01001085,1.818180382
E01001086,2.041185454
E01001087,1.967489018
E01001088,1.579540042
E01001089,2.251582222
E01001090,1.375309022
E01001091,1.178204979
E01001092,1.709747619
E01001093,0.802129403
E01001094,1.324990095
E01001095,1.033521261
E01001096,1.288507805
E01001097,1.534119423
E01001098,1.089779401
E01001099,1.471907356
E01001100,1.169981973
E01001101,1.225020835
E01001102,1.685831709
E01001103,0.708929414
E01001104,1.096027709
E01001105,1.865289402
E01001106,1.133392028
E01001107,0.783396283
E01001108,0.916014971
E01001109,1.005563325
E01001110,1.355565815
E01001111,1.191661088
E01001112,2.119956008
E01001113,1.615875465
E01001114,2.038934984
E01001115,1.776164282
E01001116,1.548867082
E01001117,1.705929282
E01001118,2.129703882
E01001119,1.146059219
E01001120,1.068061914
E01001121,0.531300025
E01001122,0.616971814
E01001123,0.761750255
E01001124,1.075450489
E01001125,1.277329338
E01001126,1.01827136
E01001127,1.463036149
E01001128,1.431512678
E01001129,1.030444422
E01001130,1.06654053
E01001131,0.942223694
E01001132,1.156081687
E01001133,1.027955961
E01001134,0.824634075
E01001135,0.767081253
E01001136,2.219592319
E01001137,0.934998914
E01001138,0.902160016
E01001139,1.405261341
E01001140,0.579914101
E01001141,1.360353199
E01001142,1.18158537
E01001143,1.722981036
E01001144,1.727821234
E01001145,1.550048416
E01001146,1.269930037
E01001147,1.415548357
E01001148,1.336072113
E01001149,1.994336239
E01001150,1.654585962
E01001151,1.682500924
E01001152,1.049003579
E01001153,1.92900121
E01001154,1.346431094
E01001155,2.780543051
E01001156,1.614649613
E01001157,1.312694808
E01001158,1.091213876
E01001159,0.925015439
E01001160,1.180711048
E01001161,1.40607859
E01001162,0.786144364
E01001163,0.981010097
E01001164,1.003295321
E01001165,1.324362875
E01001166,1.456825603
E01001167,0.913528412
E01001168,1.116806762
E01001169,1.086053101
E01001170,1.866238254
E01001171,1.782378312
E01001172,1.635310531
E01001173,1.02020684
E01001174,0.82970377
E01001175,1.897678426
E01001176,0.754950462
E01001177,1.842963244
E01001178,2.412760228
E01001179,0.752328303
E01001180,0.820798782
E01001181,1.404645601
E01001182,1.852352489
E01001183,0.963771674
E01001184,1.336895693
E01001185,1.959821554
E01001186,2.162742956
E01001187,1.086616063
E01001188,1.431862221
E01001189,1.221807204
E01001190,1.495994551
E01001191,1.476812302
E01001192,1.447612653
E01001193,1.419114867
E01001194,0.769266628
E01001195,1.147927909
E01001196,2.751489884
E01001197,1.660390558
E01001198,1.956100204
E01001199,2.442987629
E01001200,1.512841952
E01001201,1.359778917
E01001202,2.199359214
E01001203,1.437222551
E01001204,1.849544194
E01001205,1.133187722
E01001206,1.770264051
E01001207,0.93827496
E01001208,1.121623213
E01001209,0.86025377
E01001210,1.838843959
E01001211,1.070940929
E01001212,1.243576233
E01001213,2.214284559
E01001214,1.280507273
E01001215,1.804181118
E01001216,1.399248191
E01001217,1.960155452
E01001218,2.385525257
E01001219,1.087292453
E01001220,1.522167705
E01001221,1.385925958
E01001222,1.105534532
E01001223,1.006066359
E01001224,0.700122349
E01001225,2.293752488
E01001226,1.081892774
E01001227,0.906254826
E01001228,0.624338193
E01001229,1.352466764
E01001230,1.789115076
E01001231,0.814793739
E01001232,2.176976771
E01001233,1.523750114
E01001234,1.515352663
E01001235,1.401965144
E01001236,1.767608183
E01001237,0.950228292
E01001238,0.969127123
E01001239,1.048154573
E01001240,1.518808637
E01001241,1.204616669
E01001242,1.334944462
E01001243,1.49835248
E01001244,0.942725481
E01001245,0.978081653
E01001246,1.498540805
E01001247,0.703162876
E01001248,1.996738153
E01001249,1.824848604
E01001250,2.017274799
E01001251,1.677643617
E01001252,1.777037133
E01001253,1.284990007
E01001254,1.649010251
E01001255,1.018192432
E01001257,1.653116996
E01001258,1.096961708
E01001259,1.121923038
E01001260,1.355483174
E01001261,1.553236642
E01001262,1.860824806
E01001263,1.116499673
E01001264,1.02367961
E01001265,1.639518493
E01001266,0.786621303
E01001267,1.630417519
E01001268,1.866510318
E01001269,0.845187506
E01001270,0.669995273
E01001271,1.746218543
E01001272,0.966207333
E01001273,1.368780032
E01001274,1.453130395
E01001275,0.570318113
E01001276,1.348738638
E01001277,0.960106529
E01001278,1.333213217
E01001279,1.089779927
E01001280,1.118486195
E01001281,1.028808003
E01001282,2.072939001
E01001283,1.711764725
E01001284,1.94432251
E01001285,2.394694613
E01001286,1.375092787
E01001287,1.722352041
